 Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max,Fwd Packets/s,Label,Appear Frequncy
6,2,11607,26,10135,4.289627038,BENIGN,Infrequent
3,1,12,0,6,0.553814118,BENIGN,Infrequent
1,1,42,58,42,2336.448598,BENIGN,Infrequent
2,2,101,236,53,0.0230944813,BENIGN,Infrequent
15,15,1545,6064,922,0.127610276,BENIGN,Infrequent
24,20,1206,5036,401,0.206830157,BENIGN,Infrequent
2,2,138,394,69,7117.437722,BENIGN,Infrequent
1,1,51,67,51,11.25935934,BENIGN,Infrequent
2,2,66,246,33,32.65626021,BENIGN,Infrequent
2,2,88,144,44,9049.773756,BENIGN,Frequent
7,6,702,482,485,19.07310175,BENIGN,Infrequent
2,2,118,502,59,9216.589862,BENIGN,Infrequent
4,0,46,0,46,14760.1476,BENIGN,Infrequent
1,1,56,72,56,25.39489055,BENIGN,Infrequent
1,1,93,141,93,42.585810408,BENIGN,Infrequent
2,0,12,0,6,293.98794649999996,BENIGN,Infrequent
22,43,871,60240,389,84.27407461,BENIGN,Infrequent
2,2,84,282,42,32.90664385,BENIGN,Frequent
2,2,68,380,34,42.45112814,BENIGN,Infrequent
2,2,72,146,36,22.74200334,BENIGN,Infrequent
32,43,28152,7389,3093,0.35173532700000004,BENIGN,Infrequent
10,7,361,4832,204,1.8350970757,BENIGN,Infrequent
32,73,1856,99310,784,0.3345197739,BENIGN,Frequent
